timestamp,open,high,low,close,volume
2025-09-15 15:00:00-04:00,177.11,178.85,176.915,177.79,20802706.0
2025-09-15 16:00:00-04:00,177.79,177.79,177.35,177.36,10497347.0
2025-09-15 17:00:00-04:00,177.3527,177.48,177.28,177.36,149885.0
2025-09-15 18:00:00-04:00,177.38,177.75,177.15,177.22,168804.0
2025-09-15 19:00:00-04:00,177.22,177.4,177.2,177.32,139318.0
2025-09-16 04:00:00-04:00,177.06,177.82,177.03,177.29,380384.0
2025-09-16 05:00:00-04:00,177.28,177.47,177.16,177.23,170971.0
2025-09-16 06:00:00-04:00,177.24,177.37,177.08,177.21,186013.0
2025-09-16 07:00:00-04:00,177.22,177.45,177.2,177.43,181490.0
2025-09-16 08:00:00-04:00,177.3,177.83,176.88,177.23,1151503.0
2025-09-16 09:00:00-04:00,177.24,177.5,175.71,176.13,20998267.0
2025-09-16 10:00:00-04:00,176.13,176.85,176.0986,176.5255,17729466.0
2025-09-16 11:00:00-04:00,176.53,176.5451,175.25,175.3188,17423455.0
2025-09-16 12:00:00-04:00,175.315,175.3799,174.81,174.95,14674921.0
2025-09-16 13:00:00-04:00,174.96,175.4,174.77,174.9688,12553439.0
2025-09-16 14:00:00-04:00,174.9692,175.13,174.65,174.9645,12763237.0
2025-09-16 15:00:00-04:00,174.965,175.22,174.38,174.86,23692232.0
2025-09-16 16:00:00-04:00,174.86,175.5419,174.839,175.1,16379576.0
2025-09-16 17:00:00-04:00,175.09,175.19,174.88,175.15,1930584.0
2025-09-16 18:00:00-04:00,175.1805,175.31,175.14,175.28,260199.0
2025-09-16 19:00:00-04:00,175.25,175.34,175.1,175.1126,260117.0
2025-09-17 04:00:00-04:00,175.6,175.67,171.67,173.1,1186445.0
2025-09-17 05:00:00-04:00,173.15,173.78,172.8,173.29,578534.0
2025-09-17 06:00:00-04:00,173.27,173.44,171.75,172.22,763319.0
2025-09-17 07:00:00-04:00,172.29,172.95,172.17,172.75,648218.0
2025-09-17 08:00:00-04:00,172.4,175.98,171.76,173.25,2436990.0
2025-09-17 09:00:00-04:00,173.26,173.32,170.1,170.845,33234438.0
2025-09-17 10:00:00-04:00,170.845,170.9999,169.67,170.0926,30986303.0
2025-09-17 11:00:00-04:00,170.095,170.78,169.39,169.5698,21646814.0
2025-09-17 12:00:00-04:00,169.57,169.97,169.27,169.8904,16636217.0
2025-09-17 13:00:00-04:00,169.895,171.16,169.83,171.0904,15940384.0
2025-09-17 14:00:00-04:00,171.09,171.6,168.41,169.705,36641281.0
2025-09-17 15:00:00-04:00,169.705,171.4,169.12,170.21,32161033.0
2025-09-17 16:00:00-04:00,170.21,170.87,170.207,170.6516,17734151.0
2025-09-17 17:00:00-04:00,170.65,170.84,170.29,170.6401,337832.0
2025-09-17 18:00:00-04:00,170.63,171.25,170.63,171.19,444690.0
2025-09-17 19:00:00-04:00,171.2,171.35,171.14,171.35,466526.0
2025-09-18 04:00:00-04:00,172.84,172.98,172.8,172.96,23125.0
